index,subtask_fields.issuetype.avatarId,subtask_fields.issuetype.description,subtask_fields.issuetype.iconUrl,subtask_fields.issuetype.id,subtask_fields.issuetype.name,subtask_fields.issuetype.self,subtask_fields.issuetype.subtask,subtask_fields.priority.iconUrl,subtask_fields.priority.id,subtask_fields.priority.name,subtask_fields.priority.self,subtask_fields.status.description,subtask_fields.status.iconUrl,subtask_fields.status.id,subtask_fields.status.name,subtask_fields.status.self,subtask_fields.status.statusCategory.colorName,subtask_fields.status.statusCategory.id,subtask_fields.status.statusCategory.key,subtask_fields.status.statusCategory.name,subtask_fields.status.statusCategory.self,subtask_fields.summary,subtask_id,subtask_key,subtask_self
4,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Push to Production,289615,AI-1212,http://10.221.100.4/rest/api/2/issue/289615
4,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Test & QA Production Model,289616,AI-1213,http://10.221.100.4/rest/api/2/issue/289616
7,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Distribute Model Statistics & Findings,289612,AI-1209,http://10.221.100.4/rest/api/2/issue/289612
7,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Approve Model,289613,AI-1210,http://10.221.100.4/rest/api/2/issue/289613
10,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Research Empirical Approaches,289609,AI-1206,http://10.221.100.4/rest/api/2/issue/289609
10,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Model Development,289610,AI-1207,http://10.221.100.4/rest/api/2/issue/289610
13,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Diagram ETL Architecture,289606,AI-1203,http://10.221.100.4/rest/api/2/issue/289606
13,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Establish Data Validation Procedure,289607,AI-1204,http://10.221.100.4/rest/api/2/issue/289607
17,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Create New Wiki,289602,AI-1199,http://10.221.100.4/rest/api/2/issue/289602
17,11216,The sub-task of the issue,http://10.221.100.4/secure/viewavatar?size=xsmall&avatarId=11216&avatarType=issuetype,5,Sub-task,http://10.221.100.4/rest/api/2/issuetype/5,True,http://10.221.100.4/images/icons/priorities/minor.svg,4,Minor,http://10.221.100.4/rest/api/2/priority/4,The issue is open and ready for the assignee to start work on it.,http://10.221.100.4/images/icons/statuses/open.png,1,Open,http://10.221.100.4/rest/api/2/status/1,blue-gray,2,new,To Do,http://10.221.100.4/rest/api/2/statuscategory/2,Identify Key Stakeholders,289603,AI-1200,http://10.221.100.4/rest/api/2/issue/289603
